TEXT ID,FRANÇAIS,ENGLISH
DIALOGUES DIRECTORY,FR,EN
BACK,Retour,Back
,,
,,
TITLE SCREEN NEW START,Nouvelle partie,Start new game
TITLE SCREEN START,Continuer,Continue
TITLE SCREEN QUIT,Quitter,Quit
TITLE SCREEN PARAMETERS,Paramètres,Parameters
,,
PARAMETERS LANGUAGE,Changer la langue pour l’anglais,Change langage to french
,,
,,
RETURN POLICE STATION,Retourner au commissariat,Return to police station
,,
,,
,,
,,
MAIN DESK,MAIN DESK,MAIN DESK
CRIME NEXT COLOR,Changer la couleur,Change color
,,
,,
,,
,,
MONTHS,mois,months
MONTH1,janvier,january
MONTH2,février,february
MONTH3,mars,march
MONTH4,avril,april
MONTH5,mai,may
MONTH6,juin,june
MONTH7,juillet,july
MONTH8,août,august
MONTH9,septembre,september
MONTH10,octobre,october
MONTH11,novembre,november
MONTH12,décembre,december
,,
,,
,,
MALUS TEXT IDS,,
MALUS UNSTOPPABLE,inarrêtable,unstoppable
MALUS CONFUSION,confusion,confusion

,,
,,
TEXT END OF CASES,Affaires résolues !,Cases resolved!
CHANGE COLOR,Changer couleur,Change color
,,
,,
CRIME FOCUS CRIME ID, crime #, crime #
UNIT DEPLOYED,DÉPLOYÉ,DEPLOYED
,,
,,
,,
COMPUTER,ORINATEUR,COMPUTER
SYSTEM MESSAGE,Message système,System message
LOG OFF CONFIRMATION,Voulez-vous vous déconnecter ?,Would you like to log off ?
CMD WELCOME,Bonjour! Initialisation de votre ordinateur en cours...,Welcome, your computer is initializing...
CMD ASK USERNAME,Veuillez renseigner votre nom d'utilisateur :,PLease enter your user name:
CMD ASK PSW,Veuillez renseigner le mot de passe :,PLease enter the password:
CMD WRONG PSW,Mauvais mot de passe, veuillez réessayer:,Wrong password, please try again:
CMD ESC QUIT,Echap pour quitter l'ordinateur.,Escape to quit to quit computer.
,,
,,
,,
,,
,,
,,
PHONE,TÉLÉPHONE,PHONE
REPERTORY,répertoire,phonebook









