ERROR,Erreur,Error
LANGUAGE,Français,English
,,
SCENE 2,SCENE 2,SCENE 2
,,
,,
,,
,,
,,
SCENE 3,SCENE 3,SCENE 3
S3_L1_DIDIER,"Bienvenue à Saints Martyrs. Blaise, c’est ça ?","Welcome to Saints Martyrs. Blaise, right ?"
S3_L2_BLAISE,"C’est bien ça, oui, enchanté.","You're right, nice to meet you."
S3_L3_DIDIER,"Moi c'est Didier, tutoie-moi, tu pourras me joindre si tu as besoin de renseignements à l’avenir. De toute évidence,[delay, 250] nous serons amenés à nous lier d'amitié, ça ne fait aucun doute !","I'm Didier, you can call me if you need informations in the future. Obviously, [delay, 250] we will be brought to befriend each other, there's no doubt about it!"
S3_L4_BLAISE,"[limpOff][delay, 100].[delay, 100].[delay, 100].","[limpOff][delay, 100].[delay, 100].[delay, 100]."
S3_L5_BLAISE,[shake]Parfait!,[shake]Great!
S3_L6_DIDIER,"Je vais te montrer ton lieu de travail. Je te présenterai à Ernest juste après ça, vous devriez vous entendre.","I'll show you your workplace. I'll introduce you to Ernest after that, you two might get along."
S3_L7_BLAISE,"Oui d’accord, ne perdons pas de temps.","Alright, let's not waste time."
,,
SCENE 4,SCENE 4,SCENE 4
S4_L1_DIDIER,"Voici ton plan de travail. Tu reconnais peut-être pas encore le coin, mais c’est bien une fidèle reproduction de Saints-Martyrs.","Here is your work plan. You might not recognize it, but this is a faithful recreation of Saint-Martyrs."
