,ÉCRAN TITRE,
TITLE_SCREEN_START,Nouvelle partie,Start new game
TITLE_SCREEN_CONTINUE,Continuer,Continue
TITLE_SCREEN_QUIT,Quitter,Exit
TITLE_SCREEN_OPTIONS,Paramètres,Options
,DOCUMENT RÉCAPITULATIF,
TITLE_BRIEFING_DOC,BRIEFING DE LA MISSION,
RECAP_BRIEFING_DOC,"Rappel de la mission: postez vos unités là où vous semble possibles l'arrivée d'un délit ou d'un crime.


",
UNITS_BRIEFING_DOC,Unités :,
PATTERNS_BRIEFING_DOC,"Potentielles formations criminelles :

 ",
DATES_BRIEFING_DOC,"Début de la mission à 1 heure ce matin le 19 mai, fin à 6 heures le même jour.",
SIGN_HERE_DOC,Signature :,
,MENU DE LA CARTE,
ORDINATEUR,Ordinateur,
TÉLÉPHONE,Téléphone,
EXPLORATION,Explorer,
FICHES,Fiches,
PAS_DE_CRIMINELS,Aucun criminel ne menace Saints Martyrs.,
UN_CRIMINEL,1 criminel menace Saints Martyrs.,
NOMBRE_CRIMINELS,{0} criminels menacent Saints Martyrs.,
TERMINER,Terminer,
RECAP SANS CRIMES,Aucun crime n'a été recensé.,
RECAP UN CRIME,1 crime a été recensé.,
RECAP CRIMES,{0} crimes ont été recensés.,
,,
,,
,,
,,
,,
,MENU SÉLECTION LANGUE,
,,
,MENU PAUSE,
PAUSE_BUTTON,pause,
PAUSE_MENU_CONTINUE,continuer,
PAUSE_MENU_OPTIONS,paramètres,
PAUSE_MENU_SAVE,sauvegarder,
PAUSE_MENU_QUIT,sauvegarder et quitter,
PAUSE_PARAMETERS_RETOUR,retour,
